camera_id,timestamp,md5,bicycle,car,motorcycle,bus,train,truck,total
4716,2022-10-01 06:32:00,1e800802c900be8e192e55a577c664c0,0,3,0,0,0,0,3
4716,2022-10-01 06:37:00,afd9744dfb636ec8166db99aa5bea3f9,0,3,0,0,0,1,4
4716,2022-10-01 06:41:00,94039cc0c3b6d10711854cdfd4924553,0,3,1,0,0,0,4
4716,2022-10-01 06:47:00,0991ef79ff24adc88c0fb3304ec869ef,0,3,0,0,0,0,3
4716,2022-10-01 06:52:00,32ed36eb6d090e4ad346fd5e4c93a3e2,0,2,0,0,0,0,2
4716,2022-10-01 06:56:00,0739a9bd55f61cd2decc6aa07c17ce53,1,4,1,0,0,0,6
4716,2022-10-01 07:03:00,022cbe5b98c91d001b30241b55c3aaa5,0,5,0,0,2,0,7
4716,2022-10-01 07:07:00,10e5d6d723950121007c565d8dee1fe5,0,4,0,1,0,4,9
4716,2022-10-01 07:12:00,7a7b51846315980ec3be1b8e5c647c45,1,7,1,0,0,2,11
4716,2022-10-01 07:17:00,77fe24228fd240380976fa8f92d16d10,0,4,0,1,0,0,5
4716,2022-10-01 07:21:00,218c8266c3555979daaeba32366ef1eb,0,8,0,0,0,6,14
4716,2022-10-01 07:26:00,b74983a0f67feb40dae6134f2dd45c0a,0,3,0,1,0,0,4
4716,2022-10-01 07:32:00,51b29c022e3d1df4a5e341c0087301ee,0,11,0,0,0,1,12
4716,2022-10-01 07:37:00,fe3548c8bfe82147982c4d0839537ade,0,5,1,0,1,2,9
4716,2022-10-01 07:41:00,00ecd2b7b50b4a87e2e8239dcb9162a1,0,5,1,0,0,3,9
4716,2022-10-01 07:49:00,65545ef329f7d14e32aa8b2298adb806,0,3,0,2,0,2,7
4716,2022-10-01 07:52:00,3119243eed9f47a79f23a8b42b0b8718,0,1,0,0,0,0,1
4716,2022-10-01 07:56:00,9fdb7748fabd7a4f9ca443894d387548,1,4,0,2,0,4,11
4716,2022-10-01 08:02:00,47d932a82ea774026aab45758339eae7,2,5,0,0,0,1,8
4716,2022-10-01 08:07:00,7309a6ddff22ec4a81e11d3196c9c430,0,6,1,0,0,0,7
4716,2022-10-01 08:12:00,2a4ea43c96b93e36224576b3917079ce,0,5,0,0,1,1,7
4716,2022-10-01 08:17:00,9f3561b260d917175ad70606412436da,0,2,1,0,0,2,5
4716,2022-10-01 08:21:00,87dbc84d1cd8b86b8ae76de39301e922,1,2,0,0,0,0,3
4716,2022-10-01 08:27:00,fa3221e5bf78daff4b58c6db505490e7,2,3,1,0,1,0,7
4716,2022-10-01 08:32:00,dfc1e75137e7f2ef7cfe32b75e92c6d4,0,4,0,3,0,2,9
4716,2022-10-01 08:36:00,795e563968078c3237ee1abe87802605,0,0,0,0,0,3,3
4716,2022-10-01 08:41:00,03d0d8f683eed99b999486c12d7bee75,0,4,0,4,0,1,9
4716,2022-10-01 08:47:00,7b0903d4b4b9eddce0b1f6a2fd019822,0,0,1,1,0,0,2
4716,2022-10-01 08:52:00,e27700347ea9810cdeb0853408a6a63a,0,4,0,0,0,2,6
4716,2022-10-01 08:57:00,46d32be549154887d5b597611852e5c1,1,3,0,0,0,7,11
4716,2022-10-01 09:02:00,2870db27ac121ea9cf90b8d398cc74b3,0,8,0,1,0,2,11
4716,2022-10-01 09:07:00,eb214c7e28fa31ae0f1d8b30a4b1fd24,0,3,0,0,0,0,3
4716,2022-10-01 09:11:00,8c5d71dc09fc258e2ca740487e505d18,0,1,0,2,0,1,4
4716,2022-10-01 09:18:00,44350f794e1af5740d317fc1fcefaa77,0,1,0,0,0,3,4
4716,2022-10-01 09:22:00,f116f7865534a58c4ec93a6474355483,0,5,0,2,0,0,7
4716,2022-10-01 09:28:00,9e8cd4a027301de334fa9451b92cf9de,0,2,0,4,0,0,6
4716,2022-10-01 09:31:00,e34a862611e7a73fd5cfa356ec9aead4,1,6,0,0,0,0,7
4716,2022-10-01 09:37:00,194a961c3cf138dcc6639c37a704fb37,0,2,0,0,0,0,2
4716,2022-10-01 09:42:00,968f09160f26e47bee0a5005f5cf4e0d,0,2,0,0,0,4,6
4716,2022-10-01 09:47:00,63186d2d5fa02aa8532685ccbfe48433,0,5,0,0,0,1,6
4716,2022-10-01 09:52:00,5ac90100cfbad78b98ec3d0999bb81b4,0,3,0,0,2,0,5
4716,2022-10-01 09:57:00,12d9e10b25d7e44e7be4c8a6fec59d8c,0,3,0,2,0,0,5
4716,2022-10-01 10:01:00,669e301d98925636a055fe77804d6227,0,1,0,0,1,1,3
4716,2022-10-01 10:07:00,abaf8bac2b26a9da3b5057c033c80070,0,2,0,1,0,2,5
4716,2022-10-01 10:11:00,8d36479c487d2e6acb787330f8c6d902,0,3,0,2,0,0,5
4716,2022-10-01 10:17:00,3a215643f12289c10aa6a5b1c03644a6,0,2,0,4,0,2,8
4716,2022-10-01 10:23:00,6fa8bb9578b39b86154c2ea9dbd59163,0,3,0,1,0,2,6
4716,2022-10-01 10:27:00,d3ed832b82e7c356223cf699afd981a8,0,2,0,1,1,0,4
4716,2022-10-01 10:32:00,4f42c196d4f8861c2abba7e7867a55e4,0,7,0,1,0,2,10
4716,2022-10-01 10:37:00,5d97225b9e8300c96580fab7dfdae09e,2,4,0,0,0,0,6
4716,2022-10-01 10:42:00,bc6b36b2d6f34bf916907536c2ee117b,0,4,0,0,1,0,5
4716,2022-10-01 10:47:00,f14c101a0a83725d0a95fe5f5d453ecd,0,0,0,0,1,2,3
4716,2022-10-01 10:52:00,4b7e823d5927e520814c740d72766813,0,3,0,2,1,1,7
4716,2022-10-01 10:56:00,5802a7b8220ab88f40c8089c89c5a7b7,0,1,0,0,2,0,3
4716,2022-10-01 11:02:00,1a89cb0fced4ddfc8923766bab3f580f,0,1,0,0,0,0,1
4716,2022-10-01 11:07:00,ab519ccdff39eeb27c6f52f5c5f6aef7,0,3,0,3,0,1,7
4716,2022-10-01 11:13:00,e0197cab8df0da51e6fe13296238cc65,0,6,0,0,0,1,7
4716,2022-10-01 11:17:00,a55ff7e12d10393c442a7169a012b62f,0,4,0,0,1,0,5
4716,2022-10-01 11:22:00,a24a185ceb0c88945ce432d2183b3612,0,2,0,0,0,2,4
4716,2022-10-01 11:26:00,9274c328f58e13f8c1d1cb6bd5d1552c,0,1,0,0,0,2,3
4716,2022-10-01 11:32:00,9003fc105b5578ec612346bcd912904b,0,2,0,0,2,0,4
4716,2022-10-01 11:37:00,6cf298782fae7145a95922cd0aaaad7d,0,3,0,0,0,1,4
4716,2022-10-01 11:42:00,873287d78ec913bf9d7b53138cca74cc,0,5,0,0,0,0,5
4716,2022-10-01 11:47:00,868006d7e2a539a8c726de5db13302b2,0,3,1,0,0,1,5
4716,2022-10-01 11:52:00,8454b93dee01b960f3f6f4053dd374b0,0,2,0,1,0,0,3
4716,2022-10-01 11:56:00,41eda441b92d81c5c8da5c3905099170,0,1,0,1,0,0,2
4716,2022-10-01 12:02:00,721b49cd7f94b9cd78ca702a6e061204,0,0,0,0,1,1,2
4716,2022-10-01 12:07:00,db1b1939b5856884306f14005f96cc47,0,5,0,1,0,0,6
4716,2022-10-01 12:12:00,db45be008c08e8a7d31dcce3e2986d54,0,3,0,0,0,1,4
4716,2022-10-01 12:17:00,8a08989c47e2263c156309b79e8ea83f,0,2,0,0,0,1,3
4716,2022-10-01 12:22:00,5e19cc894661fda6ebb3844d109f74bf,0,4,0,0,1,0,5
4716,2022-10-01 12:27:00,1d3f5c3f7cc2578e017d6852c115519f,0,1,0,1,0,2,4
4716,2022-10-01 12:32:00,e9d041028e40d5dffa9af106b6881c29,0,2,0,3,0,0,5
4716,2022-10-01 12:37:00,3276d7fa284f8b7f1f4a5c8cb9648f30,0,2,0,0,1,0,3
4716,2022-10-01 12:42:00,fb859f36349fd7839c1bca8ea2d54262,1,0,0,2,1,1,5
4716,2022-10-01 12:47:00,29afbbaffc79b2c360cf9230c9e5478a,0,3,0,0,0,3,6
4716,2022-10-01 12:53:00,10dbe8b9aca12afc4b53c8bcda02dc50,0,1,0,0,2,0,3
4716,2022-10-01 12:57:00,de1c532771bf8e188c0a5ab67a435aed,0,3,0,0,0,3,6
4716,2022-10-01 13:02:00,f56752eb1a23d6db8390f5ede6c0227d,0,0,0,3,0,2,5
4716,2022-10-01 13:07:00,9b33120c383d5f8cca3c6089b64bd265,0,0,0,1,0,0,1
4716,2022-10-01 13:11:00,1358f8607d4d4f49f53e5fea0ac8420f,0,3,0,0,0,4,7
4716,2022-10-01 13:17:00,9f64d669944ee2be4a8702be82558c2b,0,0,0,0,2,1,3
4716,2022-10-01 13:22:00,bc4db86df9ee30405e5ff1ca7b16e3ec,0,2,0,1,0,3,6
